model,window,threshold,persistence,fa_per_hour,dns_delay_s,dns_sustained,gtpu_delay_s,gtpu_sustained
transformer,7,3.6451629659950647e-06,1,0.5195292946783118,10.884,0.5003573981415297,10.284,0.05976551329711181
transformer,7,3.6451629659950647e-06,3,0.04241055466761729,21.162,0.5003573981415297,553.589,0.05976551329711181
transformer,7,4.351216805389378e-06,1,0.03710923533416513,10.884,0.5003573981415297,10.284,0.0174435230197312
transformer,7,4.351216805389378e-06,3,0.005301319333452161,21.162,0.5003573981415297,2035.749,0.0174435230197312
transformer,7,0.5,1,0.0,10.884,0.5003573981415297,,0.0
transformer,7,0.5,3,0.0,21.162,0.5003573981415297,,0.0
ae,3,0.10950499773025513,1,24.342184390633157,221.073,0.511794138670479,57.097,0.3840434658278524
ae,3,0.10950499773025513,3,7.686447597216481,436.39,0.511794138670479,67.415,0.3840434658278524
ae,3,1.0710020083189045,1,2.2953322824791282,,0.4982130092923517,26.254,0.07835287389190734
ae,3,1.0710020083189045,3,0.1431269552585138,,0.4982130092923517,36.54,0.07835287389190734
ae,3,1.9033548282385764,1,0.39757487571809386,,0.4982130092923517,165.26,0.018301401201029455
ae,3,1.9033548282385764,3,0.04770898508617126,,0.4982130092923517,2758.579,0.018301401201029455
ae,3,9.498808213999375,1,0.031805990057447504,,0.0,,0.0
ae,3,9.498808213999375,3,0.010601996685815835,,0.0,,0.0
ae,5,0.12283849716186523,1,13.385426054135436,426.11,0.511794138670479,0.239,0.37231913068344297
ae,5,0.12283849716186523,3,6.159946564318961,436.39,0.511794138670479,10.694,0.37231913068344297
ae,5,0.8058614191412923,1,1.5532395381630426,277.651,0.45675482487491065,124.05,0.04661138118387189
ae,5,0.8058614191412923,3,0.3816834359991095,287.89,0.45675482487491065,175.569,0.04661138118387189
ae,5,1.6715207967757946,1,0.2279498298328015,3592.265,0.0014295925661186562,1652.132,0.004575350300257364
ae,5,1.6715207967757946,3,0.08481854133313543,,0.0014295925661186562,2892.299,0.004575350300257364
ae,5,5.377341212463435,1,0.037108111833246755,,0.0,,0.0
ae,5,5.377341212463435,3,0.01060231766664193,,0.0,,0.0
