threshold,tp,fp,tn,fn,accuracy,macro_f1,weighted_f1,fpr,fnr,mcc,model,window,threshold_q,persistence,threshold_resolved,fa_per_hour,dns_delay_s,dns_detected,gtpu_delay_s,gtpu_detected,dns_sustained,gtpu_sustained
0.9583457112312316,52,1,132119,4844,0.9646391662287616,0.5015043747732353,0.9476556518381938,7.568876778686043e-06,0.9893790849673203,0.10018847157257325,lstm,5,0.9999,1,0.9583457112312316,0.005301158833320965,103.2,True,,False,0.03716940671908506,0.0
0.9583457112312316,52,1,132119,4844,0.9646391662287616,0.5015043747732353,0.9476556518381938,7.568876778686043e-06,0.9893790849673203,0.10018847157257325,lstm,5,0.9999,2,0.9583457112312316,0.0,108.336,True,,False,0.03716940671908506,0.0
0.9583457112312316,52,1,132119,4844,0.9646391662287616,0.5015043747732353,0.9476556518381938,7.568876778686043e-06,0.9893790849673203,0.10018847157257325,lstm,5,0.9999,3,0.9583457112312316,0.0,113.47,True,,False,0.03716940671908506,0.0
0.9583457112312316,52,1,132119,4844,0.9646391662287616,0.5015043747732353,0.9476556518381938,7.568876778686043e-06,0.9893790849673203,0.10018847157257325,lstm,5,0.9999,5,0.9583457112312316,0.0,123.7,True,,False,0.03716940671908506,0.0
0.5,318,2,132118,4578,0.9665732469200677,0.5524474195043166,0.9521950998316423,1.5137753557372086e-05,0.9350490196078431,0.2497103683153487,lstm,5,default,1,0.5,0.0,31.439,True,,False,0.22730521801286632,0.0
0.5,318,2,132118,4578,0.9665732469200677,0.5524474195043166,0.9521950998316423,1.5137753557372086e-05,0.9350490196078431,0.2497103683153487,lstm,5,default,2,0.5,0.0,36.564,True,,False,0.22730521801286632,0.0
0.5,318,2,132118,4578,0.9665732469200677,0.5524474195043166,0.9521950998316423,1.5137753557372086e-05,0.9350490196078431,0.2497103683153487,lstm,5,default,3,0.5,0.005301158833320965,41.678,True,,False,0.22730521801286632,0.0
0.5,318,2,132118,4578,0.9665732469200677,0.5524474195043166,0.9521950998316423,1.5137753557372086e-05,0.9350490196078431,0.2497103683153487,lstm,5,default,5,0.5,0.0,51.92,True,,False,0.22730521801286632,0.0
6.091652267059544e-07,1469,18653,113463,3427,0.838846232446793,0.5143814421857992,0.8829584250331269,0.14118653304671652,0.6999591503267973,0.0833054053076701,lstm,7,0.9,1,6.091652267059544e-07,21.348412955811852,,False,10.284,True,1.0,0.020017157563625966
6.091652267059544e-07,1469,18653,113463,3427,0.838846232446793,0.5143814421857992,0.8829584250331269,0.14118653304671652,0.6999591503267973,0.0833054053076701,lstm,7,0.9,2,6.091652267059544e-07,6.8015927048191225,,False,15.418,True,1.0,0.020017157563625966
6.091652267059544e-07,1469,18653,113463,3427,0.838846232446793,0.5143814421857992,0.8829584250331269,0.14118653304671652,0.6999591503267973,0.0833054053076701,lstm,7,0.9,3,6.091652267059544e-07,4.0608106094243555,,False,2130.843,True,1.0,0.020017157563625966
6.091652267059544e-07,1469,18653,113463,3427,0.838846232446793,0.5143814421857992,0.8829584250331269,0.14118653304671652,0.6999591503267973,0.0833054053076701,lstm,7,0.9,5,6.091652267059544e-07,2.0516105820459862,,False,2233.783,True,1.0,0.020017157563625966
2.6046918719657697e-06,1403,5795,126321,3493,0.9322103173444661,0.5982780099770899,0.9383640515665935,0.04386296890611281,0.7134395424836601,0.20192821575088726,lstm,7,0.95,1,2.6046918719657697e-06,1.8819683633755173,5.746,True,10.284,True,0.9992852037169406,0.0014297969688304261
2.6046918719657697e-06,1403,5795,126321,3493,0.9322103173444661,0.5982780099770899,0.9383640515665935,0.04386296890611281,0.7134395424836601,0.20192821575088726,lstm,7,0.95,2,2.6046918719657697e-06,1.346535110696849,10.884,True,2244.059,True,0.9992852037169406,0.0014297969688304261
2.6046918719657697e-06,1403,5795,126321,3493,0.9322103173444661,0.5982780099770899,0.9383640515665935,0.04386296890611281,0.7134395424836601,0.20192821575088726,lstm,7,0.95,3,2.6046918719657697e-06,1.1026744213580495,16.022,True,,False,0.9992852037169406,0.0014297969688304261
2.6046918719657697e-06,1403,5795,126321,3493,0.9322103173444661,0.5982780099770899,0.9383640515665935,0.04386296890611281,0.7134395424836601,0.20192821575088726,lstm,7,0.95,5,2.6046918719657697e-06,0.8323071353519893,26.295,True,,False,0.9992852037169406,0.0014297969688304261
2.8017655495204963e-05,1388,26,132090,3508,0.9742066388345546,0.7133679770640586,0.9672576998719918,0.00019679675436737413,0.7165032679738562,0.5203475826427053,lstm,7,0.99,1,2.8017655495204963e-05,0.03180791600071297,5.746,True,,False,0.9921372408863474,0.0
2.8017655495204963e-05,1388,26,132090,3508,0.9742066388345546,0.7133679770640586,0.9672576998719918,0.00019679675436737413,0.7165032679738562,0.5203475826427053,lstm,7,0.99,2,2.8017655495204963e-05,0.021205277333808645,10.884,True,,False,0.9921372408863474,0.0
2.8017655495204963e-05,1388,26,132090,3508,0.9742066388345546,0.7133679770640586,0.9672576998719918,0.00019679675436737413,0.7165032679738562,0.5203475826427053,lstm,7,0.99,3,2.8017655495204963e-05,0.015903958000356485,16.022,True,,False,0.9921372408863474,0.0
2.8017655495204963e-05,1388,26,132090,3508,0.9742066388345546,0.7133679770640586,0.9672576998719918,0.00019679675436737413,0.7165032679738562,0.5203475826427053,lstm,7,0.99,5,2.8017655495204963e-05,0.005301319333452161,26.295,True,,False,0.9921372408863474,0.0
5.5897762649692595e-05,1382,22,132094,3514,0.9741920415730009,0.7127612634950042,0.9672078604951476,0.00016652033061854735,0.7177287581699346,0.5199751133627052,lstm,7,0.995,1,5.5897762649692595e-05,0.021205277333808645,4.766,True,,False,0.9878484631879915,0.0
5.5897762649692595e-05,1382,22,132094,3514,0.9741920415730009,0.7127612634950042,0.9672078604951476,0.00016652033061854735,0.7177287581699346,0.5199751133627052,lstm,7,0.995,2,5.5897762649692595e-05,0.015903958000356485,9.908,True,,False,0.9878484631879915,0.0
5.5897762649692595e-05,1382,22,132094,3514,0.9741920415730009,0.7127612634950042,0.9672078604951476,0.00016652033061854735,0.7177287581699346,0.5199751133627052,lstm,7,0.995,3,5.5897762649692595e-05,0.015903958000356485,15.066,True,,False,0.9878484631879915,0.0
5.5897762649692595e-05,1382,22,132094,3514,0.9741920415730009,0.7127612634950042,0.9672078604951476,0.00016652033061854735,0.7177287581699346,0.5199751133627052,lstm,7,0.995,5,5.5897762649692595e-05,0.005301319333452161,25.363,True,,False,0.9878484631879915,0.0
8.379230712307617e-05,1380,22,132094,3516,0.9741774443114471,0.7125096783576622,0.9671830353403919,0.00016652033061854735,0.7181372549019608,0.5195885530351377,lstm,7,0.999,1,8.379230712307617e-05,0.021205277333808645,4.766,True,,False,0.9864188706218727,0.0
8.379230712307617e-05,1380,22,132094,3516,0.9741774443114471,0.7125096783576622,0.9671830353403919,0.00016652033061854735,0.7181372549019608,0.5195885530351377,lstm,7,0.999,2,8.379230712307617e-05,0.015903958000356485,9.908,True,,False,0.9864188706218727,0.0
8.379230712307617e-05,1380,22,132094,3516,0.9741774443114471,0.7125096783576622,0.9671830353403919,0.00016652033061854735,0.7181372549019608,0.5195885530351377,lstm,7,0.999,3,8.379230712307617e-05,0.015903958000356485,15.066,True,,False,0.9864188706218727,0.0
